pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,"2,337,338","4,504","2,601,187","29,939",0
1200.0,"532,274","803,871","288,031","11,973","197,646"
2211.0,0,"31,681","6,668",0,0
2221.0,0,"12,964",0,0,0
2330.0,"6,143","258,214","379,979","43,855",0
2340.0,"2,981","52,511","24,180",0,0
2350.0,0,"40,797","4,310",0,0
2429.0,"3,266","88,690","21,287",0,0
2430.0,"10,152","557,462","259,153",0,0
2540.0,"13,148","117,414","456,762",0,"722,418"
3110.0,0,"45,842",0,0,0
3130.0,0,"5,938",0,0,0
3190.0,0,"3,036",0,0,0
3212.0,"2,018",0,"72,452",0,0
3219.0,"23,081","27,042",0,0,0
3220.0,"24,366","236,882","179,939",0,0
3260.0,0,"26,307",0,0,0
3274.0,0,"508,189",0,0,0
3275.0,0,"60,740",0,0,0
3276.0,0,"68,707",0,0,0
3279.0,0,"4,612",0,0,0
4161.0,0,"98,623",0,0,0
4190.0,0,0,0,28,0
4322.0,0,"320,638","52,202","111,321",0
4323.0,0,0,0,0,"55,116"
4331.0,"989,971","515,156","152,794","139,807",0
4335.0,"40,200","10,422","1,150",0,0
4410.0,0,"32,991","25,888","184,242",0
4420.0,"1,371","15,279","280,551","4,255","10,735"
4650.0,0,"4,840",0,0,0
4670.0,0,"51,772",0,0,0
4782.0,0,"78,701",0,"3,858",0
4860.0,0,0,"31,089","30,114","78,914"
4900.0,"49,558","513,736","160,359","1,473,034",0
5190.0,0,0,0,3,0
5220.0,"25,292","1,230,285","446,950",0,0
5240.0,0,0,0,6,0
5312.0,"1,651","592,523","98,756","66,420","2,706"
5315.0,0,"153,101","1,418","21,275",0
5320.0,0,"12,671",0,"131,801",0
5330.0,0,"141,711","49,207","96,418","19,842"
5360.0,0,"112,229",0,"40,567",0
5370.0,0,"4,564",0,"3,658",0
5390.0,0,"41,414","7,090","1,102",0
5422.0,0,"10,633",0,0,0
5429.0,0,"5,526",0,"1,753",0
5480.0,0,"77,049","2,535","18,246","7,950"
6241.0,0,0,"60,663",0,0
6344.0,0,"16,255","2,994",0,"13,779"
6522.0,0,0,"3,537",0,0
6653.0,0,"2,992","1,429",0,0
6747.0,0,"4,730",0,0,0
6782.0,0,0,"9,595",0,0
6861.0,0,"56,568",0,0,0
7110.0,0,100,200,"9,787",0
7120.0,0,0,0,230,0
7210.0,0,0,0,9,0
7800.0,0,"6,000","3,000",0,0
7900.0,0,0,0,85,0
9900.0,0,0,0,"4,271",0
