pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2211.0,"6,459","7,954","16,862","3,973",0
2221.0,0,0,0,"4,570",0
2330.0,"15,927","137,787","69,615","253,408",0
2350.0,0,0,647,0,0
2429.0,0,0,0,"1,894",0
2640.0,0,227,1,0,0
2990.0,0,"1,119","9,764",0,0
3110.0,0,80,0,0,0
3120.0,0,0,0,0,"3,201"
3220.0,0,0,47,590,0
3250.0,0,0,0,10,0
3275.0,0,1,0,0,0
3276.0,0,80,0,0,0
3282.0,0,5,0,0,0
3284.0,0,0,0,0,128
3286.0,0,13,1,334,0
3299.0,0,0,"1,294",0,0
4170.0,0,44,3,0,0
4189.0,0,894,435,0,0
4190.0,0,25,0,0,0
4225.0,0,0,0,286,0
4331.0,0,209,0,0,0
4420.0,0,0,354,0,0
4860.0,0,0,0,926,0
4900.0,48,"3,780","1,412",20,0
5120.0,0,0,0,110,0
5190.0,0,"5,690",0,"1,821",54
5240.0,0,2,7,0,0
5290.0,0,547,330,0,0
5360.0,0,30,3,0,0
5370.0,0,16,2,11,0
5480.0,0,"8,211",471,0,0
5540.0,0,307,8,0,0
6134.0,0,79,"64,927","1,338","501,502"
6136.0,0,0,"11,959","2,040","15,397"
6522.0,0,0,0,0,243
6653.0,0,0,491,0,0
6746.0,0,0,0,674,0
6782.0,0,0,118,7,"4,407"
6811.0,0,0,0,0,428
6817.0,0,0,0,0,117
6822.0,0,0,0,0,106
6835.0,0,0,"4,327",715,"91,853"
6838.0,0,0,"2,446",0,"5,851"
6839.0,0,0,0,255,52
6857.0,0,0,0,0,29
6861.0,0,0,0,682,0
6885.0,0,182,0,0,0
6887.0,0,497,62,0,0
6889.0,0,0,0,0,242
6894.0,0,0,0,770,0
7110.0,0,986,"2,202",0,0
7120.0,0,422,4,543,0
7210.0,0,592,410,0,98
7220.0,0,0,108,0,0
7230.0,0,46,16,284,0
7300.0,0,0,26,0,0
7400.0,0,698,365,"1,625",37
7500.0,0,3,5,99,30
7600.0,0,492,10,185,162
7900.0,0,"39,874","61,692",762,"1,325"
8900.0,0,0,145,0,0
9900.0,0,283,0,972,300
