pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2211.0,408,"16,307","10,830",0,0
2330.0,"1,756","71,166","46,123","15,222",0
2640.0,0,3,0,0,0
3120.0,0,0,0,0,"1,191"
3220.0,0,0,0,465,0
3276.0,0,66,0,0,0
3286.0,0,25,0,8,3
4189.0,0,152,33,0,0
4331.0,0,0,0,0,198
4420.0,0,0,81,0,0
4900.0,0,"2,445",395,0,0
5190.0,0,"2,556",0,835,0
5220.0,0,20,0,0,0
5290.0,0,106,36,0,0
5480.0,0,"2,500",30,2,0
5540.0,0,15,0,0,0
6134.0,0,18,"16,226",16,"267,379"
6136.0,0,0,"3,713",0,"3,719"
6654.0,0,2,0,0,33
6782.0,0,0,0,5,"2,591"
6811.0,0,3,0,0,29
6817.0,0,0,0,0,377
6835.0,0,0,0,0,"52,807"
6838.0,0,0,0,0,"2,741"
6839.0,0,0,0,256,0
6858.0,0,2,0,0,0
6887.0,0,30,0,0,0
6889.0,0,15,0,5,149
7110.0,0,303,484,0,17
7120.0,0,0,0,28,206
7210.0,0,99,190,0,0
7220.0,0,0,0,0,33
7230.0,0,0,1,2,0
7400.0,0,291,36,0,0
7500.0,0,0,0,22,210
7600.0,0,0,0,0,11
7900.0,0,"2,753",10,193,282
8900.0,0,0,38,0,0
9900.0,0,0,0,"2,960",748
