pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2430.0,0,105,0,0,0
2640.0,0,152,520,0,0
2990.0,0,"4,479",0,0,0
3220.0,0,3,5,0,0
3282.0,0,51,22,0,0
3293.0,0,5,94,0,0
3299.0,0,247,186,0,0
4170.0,0,0,61,0,0
4189.0,0,48,38,0,0
4225.0,0,0,25,0,0
4331.0,0,71,181,0,0
4420.0,0,0,100,0,0
4783.0,0,247,0,0,0
5120.0,0,0,4,0,0
5190.0,0,436,59,0,0
5240.0,0,13,9,0,0
5290.0,0,33,62,0,0
5370.0,0,4,6,0,0
5480.0,0,173,126,0,0
5540.0,0,4,12,0,0
6134.0,0,1,"12,879",0,0
6136.0,0,0,64,0,0
6782.0,0,19,383,0,0
6838.0,0,0,82,0,0
6885.0,0,105,983,0,0
6887.0,0,"2,283","1,222",0,0
6889.0,0,48,132,0,0
6899.0,0,0,2,0,0
7110.0,0,143,351,0,0
7120.0,0,115,105,0,0
7210.0,0,159,279,0,0
7230.0,0,20,67,0,0
7400.0,0,693,"1,289",0,0
7500.0,0,22,26,0,0
7900.0,0,"3,302","5,178",0,0
8900.0,0,0,"1,787",0,0
