pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,0,0,"171,469",0,0
2100.0,0,0,0,"34,196",0
2211.0,0,"1,146,921",139,"2,462,094","1,234"
2221.0,0,"103,288",0,"7,622",0
2330.0,0,"1,201,286","19,094","208,052",0
2340.0,0,"465,456","6,615",0,0
2540.0,0,0,0,"207,377",0
3220.0,"3,535","406,269",0,0,"3,311"
3274.0,0,"6,882",0,"49,081",0
3283.0,0,0,0,0,2
3286.0,0,0,0,0,99
4310.0,0,0,0,"36,541",0
4420.0,0,0,0,0,"691,339"
4650.0,0,0,0,"45,067",0
4783.0,0,0,0,"477,449",0
4860.0,0,0,0,"30,314",0
5120.0,0,0,0,0,4
5220.0,0,"56,093","57,141","502,450",0
5315.0,0,0,0,35,0
5480.0,0,0,0,0,3
7110.0,0,0,0,0,133
7120.0,0,0,0,0,50
7210.0,0,0,0,"22,644","16,900"
7230.0,0,0,0,944,0
7600.0,0,0,0,1,4
7900.0,0,0,0,0,30
9900.0,0,331,0,"47,955",243
