pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,0,0,29,"2,354,905","62,817"
2211.0,0,"2,785,500",26,"299,495",0
2221.0,878,0,"38,475",0,0
2330.0,0,"785,026",0,"438,430",103
2340.0,"53,434","61,356","18,782","8,813",0
2350.0,0,0,"2,141",32,"1,306"
2410.0,0,0,27,0,0
2429.0,0,0,0,"56,898","1,576"
2430.0,0,"21,899",112,0,0
2540.0,0,"413,843",0,"367,382",318
2640.0,0,0,"1,399","42,226",196
3110.0,0,0,"8,072","11,800",22
3120.0,0,0,116,0,0
3130.0,0,0,87,0,0
3190.0,0,0,468,"2,058","6,352"
3211.0,0,0,0,0,323
3212.0,0,"22,250",23,0,1
3219.0,0,0,425,"3,599","1,046"
3220.0,0,"2,979","1,209","5,963","1,780"
3230.0,0,0,471,"15,523","1,857"
3240.0,0,0,0,"1,105","2,734"
3250.0,0,0,30,"2,128",868
3260.0,0,0,535,"17,000","1,026"
3272.0,0,0,0,"105,721",50
3273.0,0,0,"1,270",0,10
3274.0,0,"110,023","65,675",69,367
3275.0,0,856,"5,496","23,665","3,144"
3276.0,0,0,746,"4,612","2,788"
3279.0,0,0,0,476,67
3281.0,0,0,0,49,113
3282.0,0,"1,387","8,346","5,539","3,421"
3283.0,0,0,0,470,"7,079"
3284.0,0,"22,468","50,360","1,475","1,642"
3285.0,0,390,"14,021","22,942","13,269"
3286.0,0,295,"5,412","22,768","78,746"
3291.0,0,"1,403","2,180",234,"2,686"
3292.0,0,29,"7,850","1,113","11,609"
3293.0,0,0,25,384,384
3297.0,0,0,792,"11,498",945
3298.0,0,0,0,"3,747","7,569"
3299.0,0,"20,296","104,614","81,041","22,424"
4110.0,0,10,0,2,0
4150.0,0,0,0,"2,027","1,653"
4161.0,0,0,28,31,"262,278"
4170.0,0,0,0,"1,185","49,925"
4189.0,0,27,288,"69,324","69,312"
4190.0,0,13,"2,013","6,906",506
4225.0,0,0,0,"255,699","358,613"
4310.0,0,0,92,"21,827",27
4322.0,0,0,0,"1,383,561",60
4323.0,0,0,27,11,67
4331.0,0,0,"2,157","171,960",166
4338.0,0,0,210,0,0
4420.0,0,"7,109",385,775,"25,541"
4630.0,0,0,24,0,184
4650.0,0,0,40,22,74
4680.0,0,"1,117",0,451,"16,403"
4690.0,0,0,0,837,0
4741.0,0,0,0,0,137
4782.0,0,0,68,225,"6,844"
4783.0,0,0,627,"58,102",310
4860.0,0,"14,371",0,"160,917",0
4900.0,0,61,214,"30,407",265
5110.0,0,0,0,169,430
5120.0,0,146,"28,773","419,974","47,562"
5190.0,0,0,"18,669","26,479","9,213"
5220.0,0,0,375,140,133
5240.0,0,10,928,"7,799","2,215"
5290.0,0,"1,090","1,615","27,337","2,953"
5312.0,0,0,0,82,97
5315.0,0,0,0,161,22
5320.0,0,0,0,574,"1,426"
5330.0,0,0,"1,294","41,980",98
5360.0,0,29,456,"112,131","1,285"
5370.0,0,270,223,"8,977","2,819"
5390.0,0,0,385,"9,650",597
5421.0,0,0,435,"3,381",169
5422.0,0,307,"4,895","33,110",265
5429.0,0,0,"1,712",183,"16,260"
5480.0,0,"4,516","5,636","79,885","12,769"
5540.0,0,0,518,"63,350","3,563"
6134.0,0,0,403,"37,355",724
6136.0,0,0,0,"25,928",115
6241.0,0,0,459,1,"3,296"
6344.0,0,0,333,242,"1,206"
6442.0,0,"4,031","3,967","5,320",522
6521.0,0,0,0,0,"2,397"
6522.0,0,212,105,121,82
6590.0,0,0,906,2,"2,062"
6653.0,0,101,"6,858","15,235","5,478"
6654.0,0,"18,790","119,224","4,806","3,354"
6746.0,0,0,610,314,985
6747.0,0,"1,959","8,990","1,314",945
6781.0,0,0,0,30,50
6782.0,0,325,"33,837",420,"8,964"
6811.0,0,223,"150,605","2,140","29,266"
6817.0,0,393,"11,906",473,922
6822.0,0,916,"32,680",450,891
6835.0,0,0,82,"4,732",93
6838.0,0,0,0,43,"1,787"
6839.0,0,109,"10,756",193,857
6856.0,0,0,0,257,0
6857.0,0,"1,715","12,012","4,465","25,353"
6858.0,0,15,"14,607","39,595","13,799"
6861.0,0,0,"2,012","15,388",98
6865.0,0,0,0,190,0
6871.0,0,55,825,"116,356",816
6872.0,0,0,0,66,74
6885.0,0,"8,997","59,932","13,611","33,387"
6887.0,0,"40,436","513,938",0,0
6888.0,0,26,"2,561",185,"1,755"
6889.0,0,"123,909","159,191","34,217","30,921"
6891.0,0,"2,603","1,409","1,789",588
6893.0,0,0,0,"3,952",102
6894.0,0,0,0,221,76
6899.0,0,366,"2,816",562,430
7110.0,0,"172,724","27,898","67,405","82,006"
7120.0,0,"14,546","51,412","69,069","45,917"
7210.0,0,"10,487","68,448","868,593","180,933"
7220.0,0,0,0,63,194
7230.0,0,85,71,794,"5,160"
7300.0,0,0,117,169,16
7400.0,0,"42,299","69,405","17,144","11,540"
7500.0,0,"4,230","15,826","101,166","7,780"
7600.0,0,"5,040","15,217","125,565","32,891"
7900.0,0,"156,325","877,247","341,935","70,615"
8900.0,0,622,0,0,0
9900.0,0,"6,903","1,312","79,792","222,612"
