pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2100.0,0,"7,668,361","298,060","3,877,620",0
2211.0,"134,866","249,324","2,909,296","204,337","200,191"
2330.0,"30,542","73,659","883,243","74,540","559,783"
2340.0,0,"4,367","217,679",0,"38,829"
2350.0,0,15,0,0,0
2429.0,0,"10,201","16,217",0,"46,222"
2540.0,0,0,0,0,"106,037"
2640.0,0,0,0,0,"174,604"
2990.0,0,0,"7,048",0,0
3211.0,0,0,0,"18,921",0
3220.0,0,"2,456",0,0,0
3297.0,0,"5,202",0,0,0
4161.0,0,"5,200",0,0,0
4170.0,"33,600","80,000","303,360","12,326",0
4189.0,"2,066",34,0,0,0
4331.0,970,"105,100","2,019,795",0,0
4420.0,0,0,800,0,0
4650.0,0,0,0,"448,037",0
4900.0,0,0,0,"49,623",0
5290.0,"2,075",33,0,0,0
7110.0,"5,230",500,"2,673",0,0
7120.0,0,0,0,1,0
7210.0,"4,580",509,0,0,0
7230.0,0,0,0,1,0
7400.0,"2,073",34,0,1,0
