pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,"5,443,309","13,661,291","6,267,054",0,0
1200.0,0,"19,944","182,406",0,0
2211.0,0,"62,232","16,340",0,0
2221.0,"5,982","10,710",0,0,0
2330.0,"110,365","36,268","112,058",0,0
2340.0,"5,921","33,746","113,379",0,0
2350.0,"3,068","221,203","10,816",0,0
2410.0,0,"10,751","9,488",0,0
2429.0,0,"5,153","4,177",0,0
2430.0,0,"48,000","80,831",0,0
2540.0,"1,079","32,205","4,033",0,0
2640.0,0,"63,716",0,0,0
3110.0,0,"21,858","14,039",0,0
3130.0,0,"3,185",0,0,0
3190.0,0,"6,423",0,0,0
3212.0,0,"126,602",0,0,0
3219.0,0,"107,425",0,0,0
3220.0,0,"86,931",0,0,0
3230.0,0,"10,015",0,0,0
3260.0,0,"58,093",0,0,0
3273.0,0,"55,114",0,0,0
3274.0,0,"86,295",0,0,0
3275.0,0,"4,644","2,677",0,0
3276.0,0,"24,910","1,625",0,0
3279.0,0,"7,522",0,0,0
4161.0,0,"1,313",0,0,0
4322.0,0,"707,146","477,156",0,0
4323.0,0,"370,050",0,0,0
4331.0,"1,454,760","693,562","30,050",0,0
4410.0,0,"36,219",0,0,0
4420.0,"6,447","61,831","117,892",0,0
4650.0,0,"75,287",0,0,0
4670.0,0,"55,902","8,523",0,0
4690.0,0,"26,551",0,0,0
4782.0,0,"74,378","1,118",0,0
4860.0,"216,181","15,099",0,0,0
4900.0,"2,969","554,098",0,0,0
5210.0,0,"518,225","1,210",0,0
5220.0,0,"177,758",0,0,0
5290.0,0,"3,304",0,0,0
5312.0,0,"208,047","1,629",0,0
5315.0,0,"444,534","1,951",0,0
5320.0,0,0,"12,899",0,0
5330.0,0,"14,579","130,259",0,0
5360.0,0,"24,443",0,0,0
5370.0,0,"5,342","37,932",0,0
5390.0,0,"7,543","2,800",0,0
5422.0,0,"1,625",0,0,0
5480.0,0,"55,841","4,652",0,0
6590.0,0,"4,800",0,0,0
7120.0,0,"1,774",0,0,0
7900.0,0,0,"2,800",0,0
