pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2100.0,0,0,"20,714","146,340",0
2211.0,0,"32,420","44,767",0,0
2330.0,0,"37,475","38,896",0,0
2340.0,"232,820","311,205","65,900",0,0
2350.0,22,"4,652",0,0,0
2429.0,0,0,0,0,"2,315"
2540.0,0,0,0,0,"4,409"
2990.0,0,777,777,0,0
3110.0,0,"12,200",0,0,0
4161.0,0,"10,723","98,190","92,392","157,905"
4170.0,"6,413","40,455","365,441","29,917","58,705"
4225.0,0,0,0,"1,856",0
4900.0,0,0,0,"36,000",0
6134.0,0,0,0,0,"6,983"
6835.0,0,0,0,"11,212",0
7230.0,0,0,0,44,0
