pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,0,0,0,0,"370,184"
2211.0,0,247,278,0,0
2330.0,0,700,659,0,0
2350.0,0,10,0,0,0
2990.0,0,99,0,0,0
3130.0,0,0,0,549,0
3275.0,0,0,0,122,0
3286.0,0,0,0,100,0
4170.0,0,0,0,67,0
4189.0,0,"1,269",0,442,0
4190.0,0,13,0,0,0
4690.0,0,0,0,0,"4,530"
5190.0,0,192,19,0,0
5210.0,0,0,0,302,0
5290.0,0,"1,273",0,0,0
5360.0,0,0,0,501,0
5370.0,0,0,0,"2,016",0
5480.0,0,142,0,0,0
5540.0,0,0,0,544,0
6134.0,0,0,402,0,609
6136.0,0,0,0,0,408
6746.0,0,0,0,187,0
6835.0,0,0,0,0,"3,336"
7110.0,0,646,143,0,0
7210.0,0,161,2,0,0
7230.0,0,0,13,0,0
7400.0,0,"1,275",0,0,0
7900.0,0,834,0,0,0
