pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2211.0,0,"1,916",651,0,0
2330.0,791,"5,622",627,0,0
2340.0,0,"3,328",0,0,0
3120.0,0,0,0,0,455
3284.0,0,0,0,0,"3,058"
4189.0,0,13,0,0,0
4331.0,0,0,"7,100",0,0
4900.0,0,249,61,0,0
5190.0,0,339,0,0,3
5290.0,0,14,0,0,0
5480.0,0,"1,523",193,0,0
6134.0,0,160,"1,011",0,"7,342"
6136.0,0,0,0,0,674
6654.0,0,20,0,0,0
6782.0,0,0,0,0,"5,676"
6811.0,0,27,0,0,0
6835.0,0,0,21,0,"5,710"
6838.0,0,0,0,0,"1,891"
6858.0,0,18,0,0,0
6889.0,0,0,0,0,47
7210.0,0,0,0,0,6
7400.0,0,13,0,0,0
7900.0,0,"1,595",400,0,0
9900.0,0,0,0,0,"1,341"
