pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2211.0,0,"155,351","4,091",0,0
2330.0,0,"88,811",0,0,0
2340.0,0,"205,914",0,0,0
2350.0,0,431,14,0,0
2429.0,0,"65,559",0,0,0
2640.0,0,"16,269",0,"8,176",0
2990.0,0,97,18,0,0
3190.0,0,"6,235","6,528",0,0
3282.0,0,237,0,0,0
3285.0,0,267,0,0,0
3286.0,0,90,0,0,0
3291.0,0,27,0,0,0
3293.0,0,0,4,0,0
3299.0,0,484,14,0,0
4189.0,0,"30,057","13,221",0,0
4190.0,0,805,0,0,0
4331.0,0,0,0,"17,613",0
4338.0,0,72,0,0,0
4420.0,0,0,896,0,0
5190.0,0,"13,271","1,742",0,0
5220.0,0,"30,451",0,0,0
5240.0,0,231,0,0,0
5290.0,0,"1,468",0,0,0
5360.0,0,933,1,0,0
5370.0,0,"1,730",20,0,0
5480.0,0,"499,064","347,081",0,0
6442.0,0,"1,130",0,0,0
6654.0,0,"3,762","1,397",0,0
6747.0,0,324,10,0,0
6782.0,0,"6,635",23,0,0
6811.0,0,"2,860",0,0,0
6822.0,0,27,30,0,0
6839.0,0,0,117,0,0
6871.0,0,18,36,0,0
6885.0,0,"8,359",46,0,0
6889.0,0,"103,998","45,221",0,0
6899.0,0,76,911,0,0
7110.0,0,"2,033",357,0,0
7120.0,0,483,214,0,0
7210.0,0,"96,079","25,877",0,0
7230.0,0,90,0,0,0
7400.0,0,"14,592","2,454",0,0
7600.0,0,177,43,0,0
7900.0,0,"125,855","34,659",0,0
8900.0,0,0,21,0,0
9900.0,0,277,0,39,0
