pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2211.0,0,"1,190",2,"1,046",0
2330.0,0,"3,044",680,"1,898",0
2350.0,0,156,0,0,0
2429.0,0,1,0,"41,732",0
2540.0,0,"3,451",0,0,0
2640.0,0,110,0,0,0
3110.0,0,356,0,0,0
3282.0,0,22,0,0,0
3293.0,0,34,0,0,0
3299.0,0,292,0,0,0
4170.0,0,40,209,0,0
4189.0,0,717,14,0,0
5190.0,0,38,1,0,0
5210.0,0,668,0,0,0
5220.0,0,"1,827",0,0,0
5240.0,0,218,0,0,0
5290.0,0,19,2,0,0
5370.0,0,38,0,0,0
5480.0,0,"1,450",10,0,0
6134.0,0,2,0,0,0
6885.0,0,"6,670",11,0,0
6887.0,0,"1,418",1,0,0
6889.0,0,"3,494",12,0,0
6899.0,0,23,0,0,0
7110.0,0,427,527,0,0
7120.0,0,97,2,0,0
7210.0,0,699,703,0,0
7230.0,0,11,13,0,0
7400.0,0,634,9,0,0
7500.0,0,23,2,0,0
7600.0,0,21,0,0,0
7900.0,0,"2,525",586,0,0
8900.0,0,0,35,0,0
