pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,"5,500","3,015","349,708","331,849",0
2100.0,0,"3,709,971",0,"12,812,330",0
2211.0,"7,838","163,536","956,271","90,903","14,888"
2221.0,0,527,"46,130",0,0
2330.0,"19,546","431,690","1,015,735","144,756","436,855"
2340.0,"1,323","1,260,188","1,567,640","20,896",0
2350.0,0,"15,319",0,0,0
2429.0,"10,283","126,616","234,215",0,0
2640.0,0,0,"97,874","284,963",0
2990.0,"179,549","5,378","38,882",0,0
3211.0,0,0,0,"45,185",0
3212.0,0,0,"106,577","21,484",0
3275.0,0,0,0,88,0
3285.0,0,0,0,"7,755",0
3292.0,0,0,0,"1,327",0
4189.0,0,0,0,99,0
4331.0,0,"31,407",0,0,0
4900.0,0,0,0,"60,957",0
5480.0,0,0,0,15,0
6136.0,0,0,0,19,0
6654.0,0,0,0,617,0
6782.0,0,0,0,42,0
6811.0,0,0,0,"3,119",0
6822.0,0,0,0,"1,629",0
6839.0,0,0,0,36,0
6857.0,0,0,0,833,0
6858.0,0,0,0,44,0
6885.0,0,0,0,435,0
6887.0,0,164,0,0,0
6888.0,0,"3,515",0,0,0
6889.0,0,0,0,264,0
7110.0,0,0,0,17,0
7120.0,0,0,0,41,0
7230.0,0,0,0,1,0
7400.0,0,0,0,11,0
7900.0,618,45,453,0,0
