pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2100.0,0,"3,941,465","43,738","8,085,226",324
2211.0,"37,968","537,962","1,948,175","449,182","163,422"
2221.0,848,0,"4,933",0,"14,261"
2330.0,"20,133","998,013","381,027","167,188","502,220"
2340.0,"584,309","826,626","1,983,690","239,320","63,075"
2350.0,"63,307","101,198","674,175",0,0
2410.0,0,0,0,"77,464",0
2429.0,"4,812","7,118","45,007",0,"19,635"
2540.0,0,0,0,0,"323,082"
2990.0,0,"2,983",307,0,0
3211.0,0,0,"39,494","7,307","27,149"
3212.0,"11,616","20,085","167,615","5,768",0
3220.0,0,"3,471","8,565","8,347",0
3230.0,0,0,0,"13,982",0
3250.0,0,0,0,"1,046",0
3273.0,0,"8,966",0,0,0
3274.0,0,0,0,"103,023",0
3275.0,0,0,0,0,"219,361"
3276.0,0,0,52,0,0
3284.0,0,0,0,0,36
3286.0,0,0,0,0,242
3297.0,0,0,"5,614",0,0
3298.0,0,0,0,"1,124",0
3299.0,0,0,41,"6,162","10,743"
4225.0,0,0,0,0,"1,851"
4322.0,0,0,0,"36,333",0
4323.0,0,0,0,"357,856",0
4331.0,0,"90,588","154,950",0,0
4420.0,0,0,0,0,"263,598"
4670.0,0,0,0,0,"35,264"
4680.0,0,0,0,0,88
4782.0,0,"6,000","6,000",0,"31,425"
5220.0,0,0,0,"51,807",0
5290.0,0,314,0,0,0
5429.0,0,0,0,0,"24,817"
5480.0,0,0,0,17,"12,574"
6136.0,0,0,0,0,129
6653.0,0,0,0,"209,117","18,433"
6654.0,0,26,0,0,0
6838.0,0,0,0,0,"11,901"
6839.0,0,"1,246",62,0,528
6857.0,0,842,0,0,105
6865.0,0,0,0,"18,790",0
6889.0,0,0,0,"20,790",0
6893.0,0,0,0,0,428
6899.0,0,171,0,0,0
7110.0,0,19,385,0,9
7120.0,0,21,16,0,35
7210.0,0,"13,248","29,636","119,760",0
7230.0,0,8,21,0,0
7500.0,0,0,0,0,43
7900.0,0,74,3,0,81
9900.0,0,0,0,"11,982",3
