pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,"46,490","20,377,040","73,999",0,0
1200.0,0,"3,337","68,484",0,0
2100.0,0,0,"500,542",0,0
2211.0,0,"1,065,786",0,0,0
2221.0,0,"387,196",0,0,0
2330.0,0,"534,835","154,225",0,0
2340.0,0,"4,290","38,240",0,0
2350.0,0,"125,702",0,0,0
2429.0,0,"7,446",0,0,0
2430.0,"13,135","579,718","99,746",0,0
2540.0,0,"22,600","27,222",0,0
2990.0,0,0,"3,850",0,0
3110.0,0,"674,656","3,200",0,0
3120.0,0,"17,723",0,0,0
3130.0,0,"154,427",0,0,0
3190.0,0,"116,827",0,0,0
3219.0,0,"76,684",0,0,0
3220.0,0,"440,332","43,715",0,0
3230.0,0,"11,895",0,0,0
3273.0,0,"64,606","5,000",0,0
3274.0,0,"248,872",0,0,0
3275.0,0,"27,372",0,0,0
3276.0,0,"81,955",0,0,0
4161.0,0,"9,507",0,0,0
4322.0,"297,647","1,022,778","360,855",0,0
4323.0,"1,142,666","162,598","90,676",0,0
4331.0,"3,230","1,064,521","672,314",0,0
4335.0,0,"14,334",0,0,0
4410.0,0,"47,684","50,191",0,0
4420.0,"212,021","633,168","21,321",0,0
4650.0,0,"8,283","3,127",0,0
4670.0,0,"14,060",0,0,0
4782.0,0,"17,864","11,182",0,0
4783.0,0,"376,894",0,0,0
4860.0,0,"2,032","389,702",0,0
4900.0,0,"28,645",864,0,0
5210.0,"300,333","1,717","962,561",0,0
5220.0,0,"486,794",0,0,0
5312.0,0,"1,139,469","1,520",0,0
5315.0,0,"213,834",0,0,0
5320.0,0,"109,209",0,0,0
5330.0,"6,196","63,853","191,710",0,0
5360.0,0,"69,550","7,265",0,0
5370.0,0,"1,154","25,474",0,0
5390.0,"132,804","33,042","232,851",0,0
5422.0,0,"6,906",0,0,0
5480.0,0,"15,068",0,0,0
6241.0,0,0,"4,650",0,0
6344.0,0,0,"605,183",0,0
6522.0,0,"5,621","905,566",0,0
6590.0,0,"1,503","50,006",0,0
6653.0,0,0,"14,562",0,0
6782.0,0,"6,676","150,614",0,0
6865.0,0,"23,428",0,0,0
7110.0,0,"3,654",0,0,0
7900.0,0,"2,103",0,0,0
