pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,0,0,34,0,0
1200.0,0,0,0,501,634
2211.0,0,"100,400","12,499","32,676",15
2221.0,0,"9,911",0,0,0
2330.0,0,"118,247","110,200",0,18
2340.0,"83,338","694,980","882,365","598,241",0
2350.0,0,"9,039",121,0,"2,567"
2410.0,0,0,120,0,58
2429.0,0,"20,125","3,890",0,270
2430.0,0,"39,432",0,0,0
2540.0,0,0,0,0,145
2640.0,0,0,"1,241",0,0
3190.0,0,0,43,0,8
3211.0,0,0,195,0,1
3219.0,0,0,59,1,2
3220.0,0,0,"5,166",0,36
3230.0,0,0,37,0,46
3240.0,0,0,112,0,86
3250.0,0,0,22,0,0
3260.0,0,0,115,0,2
3272.0,0,0,0,3,0
3273.0,0,0,227,0,0
3274.0,0,0,0,0,3
3275.0,0,0,"5,742",66,126
3276.0,0,0,807,"3,266",330
3279.0,0,0,173,84,27
3281.0,0,0,0,370,86
3282.0,0,0,105,3,391
3283.0,0,0,0,0,40
3284.0,0,0,"1,134",32,31
3285.0,0,0,"1,863",194,628
3286.0,0,0,773,486,665
3291.0,0,0,0,0,199
3292.0,0,0,0,0,218
3297.0,0,"3,820","3,717",0,85
3298.0,0,0,16,0,0
3299.0,0,"15,410","1,434",3,802
4110.0,0,"1,249",862,591,0
4150.0,0,0,0,0,48
4161.0,0,0,123,0,0
4170.0,0,0,0,"3,163",26
4189.0,0,145,81,"14,663",211
4190.0,0,0,"2,076",29,14
4225.0,0,"14,308",37,"2,028",696
4310.0,0,0,0,315,0
4322.0,0,0,44,52,0
4323.0,0,0,0,"280,959",0
4331.0,0,0,241,0,292
4420.0,0,0,0,29,0
4650.0,0,0,0,212,0
4680.0,0,0,0,142,0
4690.0,0,0,0,"15,372",0
4782.0,0,0,103,"9,678",106
4860.0,0,0,0,"61,619",0
4900.0,0,0,"7,546","2,532",17
5110.0,0,0,52,"2,642",198
5120.0,0,0,"1,273","7,521","5,991"
5190.0,0,65,"5,266",71,865
5220.0,0,0,39,0,0
5240.0,0,0,723,"2,866",117
5290.0,0,"4,036","1,815","19,974","2,638"
5315.0,0,0,0,"12,337",257
5320.0,0,0,0,"32,445",10
5330.0,0,0,43,"386,356",593
5360.0,0,0,64,"72,847",0
5370.0,0,0,844,"22,795",57
5390.0,0,0,"1,651",350,52
5421.0,0,0,73,5,2
5422.0,0,0,58,"8,975","3,199"
5429.0,0,0,"1,209","10,152",0
5480.0,0,"1,360","2,984","85,177",450
5540.0,0,0,833,"199,681",92
6134.0,0,0,224,599,270
6136.0,0,0,0,196,17
6241.0,0,0,0,18,25
6344.0,0,0,231,550,27
6442.0,0,0,80,0,0
6445.0,0,0,23,0,0
6522.0,0,0,45,0,0
6590.0,0,0,0,356,0
6653.0,0,0,192,0,0
6654.0,0,0,"4,016","3,330",709
6746.0,0,0,531,0,0
6747.0,0,0,"2,112",616,260
6781.0,0,0,299,0,0
6782.0,0,0,"8,914",0,"1,158"
6811.0,0,0,"2,356",26,"1,103"
6817.0,0,0,934,0,6
6822.0,0,0,"4,521",0,"2,987"
6835.0,0,0,249,21,26
6839.0,0,0,"1,575",0,81
6856.0,0,0,0,"280,732",0
6857.0,0,0,44,"331,596",735
6858.0,0,0,"3,053","9,245",405
6861.0,0,0,154,146,12
6871.0,0,0,17,233,0
6872.0,0,0,0,"73,582",9
6885.0,0,0,"2,673",600,312
6887.0,0,"81,972","6,519",0,0
6888.0,0,"1,685",230,0,0
6889.0,0,"4,280","15,799","2,776","9,293"
6891.0,0,0,898,"1,978",959
6893.0,0,0,42,624,0
6899.0,0,0,71,"10,927",0
7110.0,0,"2,198","2,846","11,140","1,594"
7120.0,0,"3,441","1,459","2,933","1,285"
7210.0,0,"1,232","30,550",150,"5,673"
7220.0,0,0,0,3,0
7230.0,0,0,30,965,5
7400.0,0,0,"1,827","2,462",9
7500.0,0,163,"2,895","2,609","3,279"
7600.0,0,507,"2,086","3,965",636
7900.0,0,"25,359","26,786","1,904","2,108"
9900.0,0,0,61,"44,362","12,713"
