pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,0,"1,547,631","3,898","305,886","13,853"
2330.0,"13,471","11,663","5,624","36,486",0
2340.0,"3,329",0,"42,942","24,802","2,983"
2430.0,"8,606",0,"246,083",0,0
2540.0,0,0,0,"132,385","35,032"
3286.0,0,0,0,385,0
3299.0,0,0,0,"9,441",0
4322.0,0,"1,071,715","47,075","68,454",0
4331.0,0,"10,004",0,"128,200",0
4410.0,0,"6,461,425","65,942",0,0
4515.0,0,0,0,6,0
4860.0,0,0,"78,031","428,494",0
4900.0,0,"208,290",0,"581,087",0
5120.0,0,0,0,1,0
5190.0,0,0,0,4,0
5220.0,0,"452,971",0,"696,831",0
5290.0,0,0,0,40,0
5312.0,0,0,"20,311",0,0
5320.0,0,0,0,"238,143",0
5330.0,0,0,0,"49,946",0
5360.0,0,0,0,"94,693",0
5370.0,0,0,0,860,0
5421.0,0,0,0,904,0
5422.0,0,0,0,"14,301",0
5480.0,0,0,0,"44,932",0
6861.0,0,0,0,"21,605",0
6889.0,0,0,0,176,0
7110.0,0,0,0,"5,357",0
7120.0,0,0,0,849,0
7210.0,0,0,0,271,0
7230.0,0,0,0,"23,920",0
7400.0,0,0,0,14,0
7500.0,0,0,0,93,0
7600.0,0,0,0,20,0
7900.0,0,0,0,389,0
9900.0,0,0,0,"25,293",0
