pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2100.0,0,"7,600","4,183",0,0
2211.0,0,"18,349","76,825",0,0
2330.0,0,"13,928","64,778",0,0
2340.0,0,"39,114","97,005",0,0
2350.0,0,0,"4,082",0,0
2429.0,0,0,"3,408",0,0
2430.0,0,"12,062","56,304",0,0
3130.0,0,"1,399",0,0,0
3211.0,0,"5,207","80,084",0,0
3212.0,0,"18,434",0,0,0
3219.0,0,"11,258",0,0,0
3274.0,0,"76,802",0,0,0
3275.0,0,"35,156","63,646",0,0
3286.0,0,0,0,0,17
4170.0,0,0,0,0,"4,989"
4189.0,0,0,0,"2,657","7,202"
4225.0,0,0,0,0,"2,238"
4322.0,0,"51,493",0,0,0
4331.0,0,"24,679",0,0,0
4410.0,0,0,"1,541",0,0
4420.0,0,"16,891","81,407",0,0
4650.0,0,"1,682",0,0,0
4782.0,0,"1,521","1,500",0,0
4860.0,0,"8,739",0,0,0
5110.0,0,0,0,0,"1,368"
5120.0,0,0,0,0,"8,852"
5190.0,0,0,0,0,409
5315.0,0,"1,564",0,0,0
5320.0,0,0,0,0,71
5330.0,0,"1,572",0,0,0
5360.0,0,0,0,0,114
5370.0,0,0,0,0,704
5480.0,0,"6,700",0,0,946
5540.0,0,"1,600",0,0,585
6442.0,0,0,0,0,"1,392"
6590.0,0,0,"2,773",0,0
7110.0,0,0,0,0,"1,750"
7120.0,0,0,0,0,94
7210.0,0,0,0,0,29
7400.0,0,0,0,0,110
7600.0,0,0,0,0,6
7900.0,0,0,0,36,13
9900.0,0,0,0,0,638
