pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2211.0,0,600,0,"11,497",0
2330.0,0,"4,308",0,"1,251",0
2350.0,0,23,0,0,0
2429.0,0,77,0,"31,611",0
2430.0,0,16,0,0,0
2540.0,0,"3,824",0,0,0
2640.0,0,109,0,0,0
3220.0,0,1,0,0,0
3282.0,0,14,6,0,0
3286.0,0,5,0,0,0
3293.0,0,16,0,0,0
3299.0,0,173,0,0,0
4170.0,0,10,312,0,0
4189.0,0,113,0,0,0
4190.0,0,158,1,0,0
4338.0,0,0,32,0,0
5190.0,0,60,6,0,0
5210.0,0,471,0,0,0
5220.0,0,"1,952",43,0,0
5240.0,0,227,3,0,0
5290.0,0,94,0,0,0
5360.0,0,1,0,0,0
5370.0,0,358,1,0,0
5480.0,0,416,11,0,0
5540.0,0,63,0,0,0
6134.0,0,23,0,0,0
6782.0,0,77,0,0,0
6885.0,0,"6,469",5,0,0
6887.0,0,"1,450",1,0,0
6889.0,0,"3,177",2,0,0
6899.0,0,5,0,0,0
7110.0,0,910,423,0,0
7120.0,0,125,14,0,0
7210.0,0,378,900,0,0
7230.0,0,18,0,0,0
7400.0,0,616,9,0,0
7500.0,0,17,4,0,0
7600.0,0,22,0,0,0
7900.0,0,"2,109",408,0,0
8900.0,0,0,54,0,0
