pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,0,0,0,"3,631",47
1200.0,0,0,0,0,"1,203"
2100.0,"38,728","6,123,170","19,740","16,072,448",0
2211.0,"421,869","1,485,724","4,114,710","708,647","1,316,703"
2221.0,0,0,0,0,"79,618"
2330.0,"396,518","1,377,478","727,142","1,544,381","1,211,409"
2340.0,"2,022,664","1,354,280","1,248,101","199,698","381,575"
2350.0,"41,686",20,"363,933",14,"47,507"
2410.0,0,0,0,"73,583",18
2429.0,"33,314","48,554","101,691",321,"54,207"
2430.0,0,0,0,"30,706","15,379"
2540.0,0,0,0,150,"1,784,807"
2640.0,0,0,0,304,343
2990.0,0,"9,559","1,243",0,0
3110.0,0,0,18,"213,294",66
3120.0,0,0,0,284,579
3130.0,0,0,0,"5,106",0
3190.0,0,28,"4,225","22,265","30,845"
3211.0,0,0,"22,451","133,195","26,792"
3212.0,0,0,0,"13,394",34
3219.0,0,0,0,378,"1,142"
3220.0,0,0,"147,184","17,063","7,133"
3230.0,0,0,0,"51,288","2,379"
3240.0,0,0,0,"4,924","12,953"
3250.0,0,0,0,"3,306","3,443"
3260.0,0,0,0,"4,644","4,147"
3272.0,0,0,0,9,506
3273.0,0,0,0,"206,208",304
3274.0,0,0,0,"233,406",135
3275.0,0,0,0,"13,364","6,678"
3276.0,0,0,0,"75,787","24,176"
3279.0,0,0,0,"2,595","1,708"
3281.0,0,0,0,"6,470","3,413"
3282.0,0,0,"1,248","4,572","7,032"
3283.0,0,0,0,488,910
3284.0,0,0,0,"4,187","7,836"
3285.0,0,36,"3,836","12,418","25,699"
3286.0,0,16,36,"95,517","212,537"
3291.0,0,12,236,"4,538","1,731"
3292.0,0,0,0,"33,977","7,940"
3293.0,0,0,0,"2,380",231
3297.0,0,0,0,523,"3,492"
3298.0,0,0,0,219,0
3299.0,0,896,"32,088","33,294","32,238"
4110.0,0,0,0,931,"1,690"
4150.0,0,0,0,"1,936",744
4161.0,0,0,0,377,211
4170.0,0,0,0,"14,607","27,059"
4189.0,0,273,267,"116,014","23,305"
