pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2211.0,"1,050","2,303","2,816","7,365",0
2221.0,"2,735","4,681","6,265","7,005",0
2330.0,155,"5,002","14,740","16,976",0
2340.0,0,9,0,0,0
2640.0,0,827,205,0,0
2990.0,0,920,"1,065",0,0
3220.0,0,26,255,0,0
3282.0,0,18,13,0,0
4189.0,0,"1,033",716,0,0
4331.0,0,"1,111",325,0,0
4420.0,0,0,7,0,0
4783.0,0,"1,155",509,0,0
5190.0,0,220,119,0,0
5290.0,0,399,160,0,0
5370.0,0,310,255,0,0
5480.0,0,"3,780","1,940",0,0
6782.0,0,12,3,0,0
6885.0,0,"1,569",280,0,0
6887.0,0,"1,126",549,0,0
7110.0,0,"4,039","1,633",0,0
7120.0,0,8,23,0,0
7210.0,0,"1,481",700,0,0
7230.0,0,69,33,0,0
7400.0,0,"3,821","3,886",0,0
7500.0,0,17,17,0,0
7900.0,0,"1,343","1,764",0,0
8900.0,0,0,192,0,0
