pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,0,0,0,"40,698",0
1200.0,0,"7,901",0,0,0
2100.0,"321,817","224,912","242,432","32,516,045",0
2211.0,"81,722","1,062,258","5,360,167","354,844","1,180,054"
2221.0,0,"7,458",0,0,"264,988"
2330.0,"630,306","634,911","3,193,054","2,168,750","757,238"
2340.0,"679,666","1,357,944","1,579,936","2,271,331","27,534"
2350.0,0,"63,279","29,443","1,884,812",0
2429.0,"86,696","441,967","136,330","962,175","18,332"
2430.0,"104,021","77,765","1,266,623",0,"101,966"
2540.0,0,"23,220","57,989","37,358","1,051,921"
2640.0,0,"35,866","24,981",0,0
2990.0,"32,847","356,998","256,460",0,0
3110.0,0,"22,488","44,000","131,467",0
3120.0,0,0,"5,949",0,0
3190.0,0,0,"1,496","13,953",0
3211.0,"10,511","66,927","113,217",0,"1,599"
3212.0,"318,611","98,058","523,567","7,550","89,883"
3219.0,"241,439","88,165","2,026,748",0,"679,158"
3220.0,"8,654","140,697",0,0,"6,236"
3240.0,0,0,0,"29,101","7,839"
3260.0,0,0,"3,886",0,"83,593"
3271.0,0,0,"248,011",0,0
3273.0,0,0,0,"5,476",0
3274.0,0,"42,282","577,198",0,"876,974"
3275.0,0,0,"189,619",0,0
3276.0,0,"3,313",0,0,0
3279.0,0,0,0,"2,892",0
3286.0,0,0,0,0,"348,718"
3297.0,"187,038","96,862","99,493",0,"173,072"
3299.0,0,0,0,"73,469","43,186"
4225.0,0,0,0,672,0
4322.0,0,0,0,"338,558",0
4331.0,0,0,0,"6,062",0
4410.0,0,"5,142",0,0,0
4420.0,0,0,789,0,0
4650.0,0,"6,902","231,916","3,557,731","1,226,610"
4690.0,0,0,0,"20,292","21,550"
4900.0,0,0,"3,724","57,136","27,157"
5190.0,0,0,0,371,0
5220.0,0,0,0,"172,145",0
5330.0,0,"5,436",0,0,0
5390.0,0,881,0,0,0
5421.0,0,0,0,"28,754",0
5480.0,0,"1,761",250,0,"1,346"
5540.0,0,0,0,"34,723",0
6136.0,0,0,0,3,0
6241.0,0,0,0,0,"1,020,788"
6344.0,0,"26,874",0,0,0
6442.0,0,0,0,0,245
6447.0,0,0,0,0,"574,019"
6522.0,0,0,0,0,"37,414"
6746.0,0,0,0,0,648
6811.0,0,0,0,"18,156",0
6857.0,0,0,0,129,0
6888.0,0,0,3,0,0
6889.0,0,0,0,0,43
7110.0,0,"3,401","5,575","15,005","12,041"
7120.0,0,0,0,205,0
7210.0,0,0,0,37,0
7220.0,0,0,0,190,190
7230.0,0,0,0,371,"1,000"
7500.0,0,0,0,526,0
7600.0,0,0,0,22,2
7900.0,0,0,0,126,0
9900.0,0,789,0,"7,526",86
