pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,0,"137,920",0,439,"2,431"
1200.0,0,0,0,29,857
2100.0,"548,774","5,157,678",0,"8,394,779","370,877"
2211.0,"1,022,865","588,507","10,897,443","7,981,465","322,017"
2221.0,"17,413","37,307","116,868","80,093","62,290"
2330.0,"2,172,702","897,568","8,170,551","5,800,557","3,476,581"
2340.0,"5,209,201","1,958,902","1,602,538","668,259","112,588"
2350.0,"27,685","42,148","21,992","834,890","127,261"
2410.0,0,0,0,"19,269","12,330"
2429.0,"252,367","19,248","127,134","1,685,420","35,102"
2430.0,"7,518","453,704","14,721","2,848","5,190"
2540.0,0,0,0,"160,007","135,156"
2640.0,0,0,0,"131,091","2,761"
2990.0,"3,759",0,"3,127",0,0
3110.0,0,0,0,"34,876","1,139"
3120.0,0,0,0,94,32
3130.0,0,0,0,"10,420","3,095"
3190.0,0,0,0,"18,662","14,473"
3211.0,0,0,0,"15,414","21,398"
3212.0,0,0,0,259,701
3219.0,0,"1,625",0,"47,595","16,122"
3220.0,"634,846","39,742","2,000,704","496,102","175,153"
3230.0,0,"2,882",0,"370,701","29,960"
3240.0,0,454,0,"94,067","47,491"
3250.0,0,0,0,"72,909","17,207"
3260.0,0,"1,551",0,"132,718","35,648"
3272.0,0,"1,268",0,"2,517","4,559"
3273.0,0,0,0,331,"2,022"
3274.0,"25,875","45,981",0,"63,221","5,352"
3275.0,0,0,0,"142,638","99,016"
3276.0,0,0,0,"113,289","71,529"
3279.0,0,0,0,"24,885","12,987"
3281.0,0,0,0,"3,028","2,913"
3282.0,0,0,18,"62,062","64,249"
3283.0,0,0,0,"32,043","15,153"
3284.0,0,0,0,"81,485","60,207"
3285.0,0,0,18,"279,222","179,172"
3286.0,0,925,0,"626,713","591,532"
3291.0,0,0,0,"18,746","41,549"
3292.0,0,0,0,"171,481","143,488"
3293.0,0,0,0,"4,253",624
3297.0,0,0,"4,844","1,397,373","191,001"
3298.0,0,0,0,"6,734","2,178"
3299.0,0,0,54,"372,934","185,437"
4110.0,0,0,0,"12,397","2,218"
4150.0,0,0,0,"5,238","2,197"
4161.0,0,0,0,"1,277","1,629"
4170.0,0,0,0,"14,964","160,574"
4189.0,0,0,0,"247,580","332,477"
4190.0,0,0,5,"107,361","17,005"
4225.0,"5,813",0,0,"32,772","3,720,779"
4310.0,0,"3,744",0,"297,891",722
4322.0,0,0,0,"9,153","1,007"
4323.0,0,0,0,363,"2,554"
4327.0,0,0,0,44,41
4331.0,"21,971","1,259,317","431,523","687,967","8,480"
4335.0,0,"3,368",0,0,0
4338.0,"1,000",0,0,0,0
4410.0,0,0,0,309,106
4420.0,"933,684","186,515",0,626,"2,372,641"
4515.0,0,0,0,"2,819",86
4630.0,0,0,0,185,109
4650.0,0,0,0,"29,494","6,546"
4670.0,0,0,0,22,5
4680.0,0,0,0,"7,901","232,334"
4690.0,0,0,0,"6,140","21,645"
4741.0,0,0,0,223,"6,004"
4782.0,"3,164",0,0,"13,081","7,396"
4860.0,0,0,0,114,0
4900.0,0,0,0,"1,482,097","30,232"
5110.0,0,0,0,"1,075","43,239"
5120.0,0,0,0,"532,046","289,234"
5190.0,0,0,0,"328,787","96,761"
5210.0,0,0,0,193,830
5220.0,0,"614,290","6,047","359,581","1,191"
5240.0,0,0,0,"310,772","64,778"
5290.0,0,0,0,"948,238","50,530"
5312.0,0,0,0,"30,024","17,742"
5315.0,0,0,0,"11,075","2,657"
5320.0,0,0,0,"62,611","26,169"
5330.0,0,0,0,"39,048","16,334"
5360.0,0,0,0,"118,187","16,129"
5370.0,0,0,0,"118,028","17,044"
5390.0,0,0,0,"40,488","8,103"
5421.0,0,0,0,"76,803","22,883"
5422.0,0,0,0,"135,601","34,174"
5429.0,0,0,0,"59,978","607,457"
5480.0,0,0,25,"1,118,462","259,677"
5540.0,0,0,0,"217,469","23,082"
6134.0,0,0,0,"189,916","10,527"
6136.0,0,0,0,"259,600","11,921"
6241.0,0,0,0,"9,226","4,530"
6344.0,0,0,0,"13,955","15,845"
6442.0,0,0,0,"182,329","2,579"
6443.0,0,0,0,307,7
6445.0,0,0,0,547,21
6447.0,0,0,0,143,0
6521.0,0,0,0,"2,332",149
6522.0,0,0,0,"20,087","333,935"
6534.0,0,0,0,353,118
6590.0,0,0,0,"36,682","24,080"
6653.0,"11,000",0,0,"508,396","32,676"
6654.0,0,0,0,"833,395","105,329"
6746.0,0,0,0,"22,689","2,257"
6747.0,0,0,0,"174,808","50,722"
6781.0,0,0,0,571,"3,333"
6782.0,0,0,0,"40,125","170,524"
6811.0,0,0,0,"45,491","92,129"
6817.0,0,0,0,"23,598","9,283"
6822.0,0,0,0,"155,725","61,192"
6835.0,0,0,0,"104,096","2,631"
6838.0,0,0,0,"6,786","17,110"
6839.0,0,0,0,"26,944","78,771"
6856.0,0,0,0,"165,603","1,927"
6857.0,0,0,0,"555,853","23,978"
6858.0,0,0,0,"1,018,113","30,078"
6861.0,0,"386,756",0,"184,510","2,706"
6865.0,0,0,0,612,"1,731"
6871.0,0,0,0,"330,884","8,116"
6872.0,0,0,0,"300,411","12,947"
6885.0,0,0,0,"1,576,988","58,953"
6888.0,0,0,0,"161,787","5,242"
6889.0,0,0,6,"1,098,161","425,493"
6891.0,0,0,0,"12,711","6,315"
6893.0,0,0,0,"33,161","1,618"
6894.0,0,0,0,"19,739","1,988"
6899.0,0,0,0,"44,519","8,348"
7110.0,0,0,0,"1,089,541","437,107"
7120.0,0,0,0,"882,047","247,321"
7210.0,0,0,0,"1,274,963","924,283"
7220.0,0,0,20,"5,883","7,146"
7230.0,0,0,0,"14,083","6,142"
7300.0,0,4,"1,497","28,790","1,631"
7400.0,0,0,0,"165,720","23,569"
7500.0,0,0,18,"1,686,204","274,197"
7600.0,0,0,0,"1,166,695","304,962"
7900.0,"253,110","8,643","58,758","2,989,523","779,641"
8900.0,"253,009",0,"2,700",0,0
9900.0,0,0,0,"755,981","610,508"
