pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2100.0,0,0,"5,486",0,0
2211.0,0,0,"113,578","633,598",0
2330.0,0,0,"54,698",44,0
2340.0,0,"8,280","19,629","49,590",0
2429.0,0,"48,894","5,520","82,605",0
2640.0,0,0,0,"35,705",0
3110.0,0,"146,272","1,800","67,248",0
3120.0,0,"1,556",0,0,0
3130.0,0,"3,012",0,0,0
3190.0,0,"1,433",0,0,0
3211.0,0,0,"234,494",0,"11,020"
3212.0,0,"1,200","48,358",0,0
3219.0,0,0,"128,543",0,"297,085"
3220.0,0,0,"32,780",0,"118,294"
3240.0,0,0,"9,832",0,"408,109"
3260.0,0,0,0,0,"9,722"
3272.0,0,"107,450",0,0,0
3273.0,0,"15,493","12,500","451,577",0
3274.0,0,0,"454,139","17,348","455,935"
3275.0,0,"4,312","65,293","33,436",0
3276.0,0,0,"8,471","14,099","3,688"
4331.0,0,0,"114,840",0,0
4650.0,0,0,"894,924","5,376,274","77,076"
4900.0,0,"11,497",0,"56,263",0
5190.0,0,0,75,0,0
6241.0,0,0,0,0,"46,341"
7110.0,0,0,0,71,5
8900.0,0,0,"8,804",0,0
9900.0,0,0,0,22,0
