pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2211.0,0,"56,258",600,0,0
2330.0,0,"1,915",0,0,0
2350.0,0,752,112,0,0
2640.0,0,"8,631",0,0,0
2990.0,0,255,0,0,0
3190.0,0,"9,851","1,224",0,0
3281.0,0,0,231,0,0
3282.0,0,121,0,0,0
3284.0,0,529,0,0,0
3285.0,0,100,0,0,0
3286.0,0,427,0,0,0
3291.0,0,22,0,0,0
3293.0,0,97,0,0,0
4189.0,0,"31,999",132,0,0
4338.0,0,157,0,0,0
4420.0,0,"3,269",919,0,0
4900.0,0,120,0,0,0
5110.0,0,782,0,0,0
5120.0,0,305,0,0,0
5190.0,0,"2,593",0,0,0
5220.0,0,"19,008",0,0,0
5240.0,0,360,7,0,0
5290.0,0,"5,464",0,0,0
5360.0,0,840,2,0,0
5370.0,0,"2,552",10,0,0
5480.0,0,"511,376","340,329",0,0
5540.0,0,20,0,0,0
6134.0,0,35,10,0,0
6442.0,0,"1,569",0,0,0
6654.0,0,"4,218",345,0,0
6746.0,0,331,0,0,0
6747.0,0,68,0,0,0
6781.0,0,201,0,0,0
6782.0,0,"2,523",0,0,0
6811.0,0,"1,996",1,0,0
6822.0,0,127,2,0,0
6839.0,0,603,630,0,0
6857.0,0,136,26,0,0
6858.0,0,4,0,0,0
6861.0,0,2,"68,363",0,0
6865.0,0,0,"10,280",0,0
6871.0,0,51,"1,723",0,0
6885.0,0,"9,660",0,0,0
6887.0,0,"4,985",0,0,0
6889.0,0,"66,311","2,382",0,0
6899.0,0,"1,175",477,0,0
7110.0,0,"1,496","2,553",0,0
7120.0,0,211,9,0,0
7210.0,0,"100,415","64,846",0,0
7220.0,0,7,2,0,0
7230.0,0,"1,052",19,0,0
7300.0,0,60,0,0,0
7400.0,0,895,207,0,0
7500.0,0,24,0,0,0
7600.0,0,94,226,0,0
7900.0,0,"90,057","36,477",0,0
