pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2211.0,0,"57,285",0,0,0
2330.0,0,"5,658",0,0,0
2340.0,0,"4,794",0,0,0
2350.0,0,588,78,0,0
2640.0,0,"5,217",0,0,0
2990.0,0,95,0,0,0
3120.0,0,48,0,0,0
3190.0,0,"9,778",44,0,0
3281.0,0,0,5,0,0
3282.0,0,39,0,0,0
3284.0,0,787,0,0,0
3286.0,0,598,0,0,0
3293.0,0,67,0,0,0
3299.0,0,69,50,0,0
4189.0,0,"31,918",379,0,0
4338.0,0,27,0,0,0
4420.0,0,0,"2,655",0,0
4900.0,0,46,"1,295",0,0
5120.0,0,359,0,0,0
5190.0,0,"1,592",33,0,0
5220.0,0,"21,722",0,0,0
5240.0,0,279,0,0,0
5290.0,0,"7,336",0,0,0
5360.0,0,"1,142",0,0,0
5370.0,0,"2,503",53,0,0
5480.0,0,"622,326","475,911",0,0
5540.0,0,71,0,0,0
6344.0,0,0,313,0,0
6442.0,0,"1,110",22,0,0
6654.0,0,508,285,0,0
6746.0,0,351,0,0,0
6747.0,0,109,9,0,0
6781.0,0,128,18,0,0
6782.0,0,"2,179",77,0,0
6811.0,0,781,55,0,0
6839.0,0,943,486,0,0
6858.0,0,21,21,0,0
6865.0,0,0,"10,610",0,0
6871.0,0,7,"1,303",0,0
6885.0,0,"6,228",184,0,0
6889.0,0,"68,738","2,019",0,0
6899.0,0,363,125,0,0
7110.0,0,"2,752","1,121",0,0
7120.0,0,109,47,0,0
7210.0,0,"99,330","48,130",0,0
7220.0,0,0,5,0,0
7230.0,0,215,84,0,0
7400.0,0,"4,297",722,0,0
7500.0,0,99,0,0,0
7600.0,0,69,71,0,0
7900.0,0,"169,719","41,922",0,0
