pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,0,"63,080",0,"1,852",103
1200.0,0,0,0,0,"57,529"
2100.0,"79,975","3,908,306","2,298","17,568,244",0
2211.0,"553,392","1,340,109","3,200,147","238,605","1,291,796"
2221.0,0,0,0,0,"4,198"
2330.0,"241,155","1,252,579","490,046","1,502,045","1,735,772"
2340.0,"1,832,040","1,498,315","718,527","236,459","296,917"
2350.0,"34,254",19,"398,826",164,515
2410.0,0,0,0,"63,717","1,376"
2429.0,0,"17,689","223,705","83,384","82,072"
2430.0,0,0,0,0,"13,218"
2540.0,0,0,0,131,"1,475,379"
2640.0,0,0,3,"3,881","10,634"
2990.0,0,0,477,0,0
3110.0,0,0,0,"656,738",33
3120.0,0,0,0,154,538
3130.0,0,0,0,"26,991",0
3190.0,0,0,"3,422","44,514","13,961"
3211.0,0,0,"33,492","47,423","59,010"
3212.0,0,0,0,"9,962",17
3219.0,0,0,0,897,"1,416"
3220.0,0,0,"249,488","87,471","12,417"
3230.0,0,0,0,"26,198","2,495"
3240.0,0,0,0,"6,053","10,977"
3250.0,0,0,0,"2,934","5,639"
3260.0,0,0,13,"2,583","18,461"
3272.0,0,0,0,330,659
3273.0,0,"31,936",0,"254,372",614
3274.0,0,0,0,"215,756",231
3275.0,0,0,3,"27,765","22,056"
3276.0,0,0,2,"66,120","33,100"
3279.0,0,0,0,"2,883","2,459"
3281.0,0,0,0,"2,423","6,950"
3282.0,0,0,"1,166","6,415","11,609"
3283.0,0,0,0,"2,362","1,088"
3284.0,0,0,1,"9,938","22,097"
3285.0,0,0,"1,021","11,547","39,854"
3286.0,0,0,178,"112,591","242,489"
3291.0,0,0,235,"6,473","2,014"
3292.0,0,0,0,"40,220","15,746"
3293.0,0,0,0,"4,498",48
3297.0,"13,000",0,0,"1,389","3,430"
3298.0,0,0,0,451,11
3299.0,0,950,"5,089","14,070","49,935"
4110.0,0,0,0,"1,060",967
4150.0,0,0,0,"1,588",465
4161.0,0,0,18,517,158
4170.0,0,0,0,"16,222","84,689"
4189.0,881,138,"33,635","121,490","117,627"
4190.0,0,0,510,"16,516","3,169"
4225.0,0,0,11,"26,359","1,638,282"
4310.0,0,0,0,"35,841",359
4322.0,0,0,0,"2,192",43
4323.0,0,0,0,"372,359",651
4331.0,"1,369,394","47,006","125,282","2,237,255","1,400"
4335.0,0,0,"18,917",0,0
4410.0,0,0,0,"2,947","1,671,047"
4420.0,0,"2,044",41,"1,647","2,175,346"
4515.0,"38,433",0,0,205,150
4630.0,0,0,0,103,0
4650.0,0,0,0,"56,303",746
4680.0,0,0,0,785,"107,593"
4690.0,0,0,0,"5,291",639
4741.0,0,0,0,"2,007","230,094"
4782.0,0,0,0,"2,252","5,832"
4860.0,0,"9,854",0,"105,625",69
4900.0,0,0,255,"85,022","126,763"
5110.0,0,0,0,"1,863","2,614"
5120.0,0,0,18,"126,631","16,922"
5190.0,0,"1,605","1,391","91,522","36,797"
5210.0,0,0,0,42,2
5220.0,0,0,0,"89,503",167
5240.0,0,0,0,"245,986","66,070"
5290.0,933,80,61,"149,739","6,287"
5312.0,0,0,0,"1,368","4,396"
5315.0,0,0,0,279,271
5320.0,0,0,0,"37,865","10,873"
5330.0,0,0,0,"260,905","12,112"
5360.0,0,0,0,"18,360","2,876"
5370.0,0,7,"1,524","61,685","2,148"
5390.0,0,0,5,"11,098",633
5421.0,0,0,0,"65,357","3,643"
5422.0,0,0,0,"17,732","7,957"
5429.0,0,0,0,"12,160","324,761"
5480.0,355,"1,915","10,133","465,692","39,481"
5540.0,0,0,0,"53,692","13,257"
6134.0,0,22,0,"18,731","18,558"
6136.0,0,0,0,"21,335","34,840"
6241.0,0,0,0,669,"93,858"
6344.0,0,0,0,689,"29,039"
6442.0,0,22,"41,596","76,581","888,996"
6443.0,0,0,0,35,131
6445.0,0,0,0,0,266
6447.0,0,0,0,26,191
6521.0,0,0,0,278,"3,038"
6522.0,0,0,0,"52,513","38,938"
6534.0,0,0,0,5,0
6590.0,0,0,0,"51,541","8,466"
6653.0,0,0,0,"336,061","27,798"
6654.0,0,"4,211","23,934","226,611","439,481"
6746.0,0,0,0,"4,665","26,254"
6747.0,0,0,0,"34,476","101,939"
6781.0,0,16,35,294,"191,423"
6782.0,0,"1,351","5,694","71,924","181,654"
6811.0,0,0,"27,522","52,154","655,575"
6817.0,0,0,0,"1,466","40,337"
6822.0,0,0,117,"18,285","137,543"
6835.0,0,0,0,"13,292","2,288"
6838.0,0,0,0,423,"10,166"
6839.0,0,"6,978","1,665","4,485","147,876"
6856.0,0,0,22,"3,893",18
6857.0,0,"5,243",0,"46,803","1,220,230"
6858.0,0,0,0,"134,863","51,949"
6861.0,0,"138,126",0,"625,273",263
6865.0,"39,362","17,200",0,"158,108",47
6871.0,0,"1,428",661,"180,651","4,447"
6872.0,0,0,0,"33,598",822
6885.0,0,153,"13,944","608,443","439,176"
6887.0,0,16,728,0,0
6888.0,0,0,0,"51,989","120,280"
6889.0,0,"9,198","256,930","184,589","355,252"
6891.0,0,0,876,148,357
6893.0,0,0,0,533,"78,524"
6894.0,0,0,0,"7,018",314
6899.0,0,"1,716","20,562","19,221","24,740"
7110.0,"1,463",918,"10,805","174,688","65,719"
7120.0,0,359,792,"335,626","82,413"
7210.0,0,"15,922","58,648","274,513","77,068"
7220.0,0,0,0,"5,803",468
7230.0,0,18,15,"1,317",945
7300.0,0,338,"26,014","7,563",65
7400.0,866,"19,790","19,503","63,152","19,905"
7500.0,0,0,0,"318,617","44,160"
7600.0,0,23,105,"199,488","70,796"
7900.0,0,"37,436","523,464","1,073,768","132,006"
8900.0,0,16,0,0,0
9900.0,0,"2,754","13,842","155,370","278,975"
