pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,0,0,0,"1,830","2,985,629"
1200.0,0,"37,285",0,21,"32,039"
2100.0,"421,916","4,931,136","3,593,055","39,888,496","164,827"
2211.0,"737,647","3,398,679","1,000,320","956,476","8,646,940"
2221.0,0,"24,958","1,354",16,"153,069"
2330.0,"1,514,108","3,689,831","2,690,230","8,326,723","18,464,716"
2340.0,"5,124,758","4,632,743","2,178,868","1,238,623","1,842,186"
2350.0,"284,378","1,159,045","711,806","394,222","794,254"
2410.0,0,"13,758","22,122","38,521","48,986"
2429.0,"1,393,855","3,583,100","2,312,546","535,401","2,763,001"
2430.0,"245,581","1,655,862","169,813","33,650","562,818"
2540.0,"11,480","4,668","360,042","49,890","5,826,746"
2640.0,"34,855","405,924","333,361","105,769","8,991,549"
2990.0,"282,357","641,047","372,261",0,0
3110.0,0,"70,696","170,419","89,280","174,711"
3120.0,0,"44,594",0,177,295
3130.0,0,"8,458",0,"1,708","105,253"
3190.0,0,"133,208",0,"19,225","11,125"
3211.0,"69,262","571,199","371,487","252,973","500,460"
3212.0,"1,791,476","1,302,327","1,495,104","1,218,193","171,385"
3219.0,"290,876","938,213","1,190,887","334,143","2,826,796"
3220.0,"1,024,462","1,270,579","880,396","2,519,885","1,437,702"
3230.0,"779,612","194,516","469,190","340,981","2,268,544"
3240.0,"5,252","548,309","44,700","105,972","708,641"
3250.0,0,"1,400","1,400","42,714","127,316"
3260.0,"41,107","344,054","306,109","448,518","2,580,774"
3271.0,"173,491","47,570","838,054",0,0
3272.0,"83,223","142,610","884,315","80,902","4,457"
3273.0,0,"126,652","10,800","240,166","23,091"
3274.0,"52,503","365,782","30,436","45,528","734,298"
3275.0,"3,245","170,518","24,371","152,104","134,836"
3276.0,"260,485","88,743",0,"150,209","169,640"
3279.0,0,0,0,"9,406","52,093"
3281.0,0,0,0,646,"1,693"
3282.0,0,0,0,"36,538","128,839"
3283.0,0,0,0,"5,759","15,638"
3284.0,0,0,0,"6,620","31,098"
3285.0,0,0,"5,492","135,911","119,127"
3286.0,0,"63,390",0,"300,253","3,334,292"
3291.0,0,0,0,"12,288","22,201"
3292.0,0,0,0,"54,304","148,929"
