pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2100.0,0,23,0,0,0
2211.0,0,"5,282",0,0,0
2330.0,0,"5,678",0,0,0
2430.0,0,56,0,0,0
2640.0,0,136,80,0,0
3260.0,0,101,57,0,0
3282.0,0,30,5,0,0
3286.0,0,153,0,0,0
3293.0,0,29,0,0,0
3299.0,0,1,0,0,0
4170.0,0,60,256,0,0
4189.0,0,210,6,0,0
4900.0,0,646,0,0,0
5120.0,0,0,54,0,0
5190.0,0,650,0,0,0
5220.0,0,"1,200",0,0,0
5240.0,0,16,0,0,0
5290.0,0,41,3,0,0
5370.0,0,14,0,0,0
5480.0,0,"1,507",23,0,0
5540.0,0,2,0,0,0
6134.0,0,160,"22,210",0,0
6782.0,0,0,783,0,0
6835.0,0,6,"15,324",0,0
6838.0,0,0,247,0,0
6885.0,0,124,0,0,0
6887.0,0,886,2,0,0
6889.0,0,1,0,0,0
6899.0,0,60,0,0,0
7110.0,0,881,622,0,0
7120.0,0,28,0,0,0
7210.0,0,101,76,0,0
7230.0,0,6,3,0,0
7400.0,0,"1,458",1,0,0
7500.0,0,54,0,0,0
7600.0,0,16,2,0,0
7900.0,0,"3,387",456,0,0
