pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2211.0,0,"265,225","5,027","18,312",0
2221.0,0,0,0,726,0
2330.0,"2,094","445,559","15,440","8,361",0
2340.0,0,838,0,0,0
2429.0,0,0,0,"5,777",0
2990.0,0,314,310,0,0
3120.0,0,0,0,0,"7,829"
3211.0,0,2,0,0,0
3220.0,0,0,0,"1,105",0
3273.0,0,1,1,0,0
3282.0,0,14,0,0,0
3285.0,0,15,0,0,0
3286.0,0,0,0,86,0
3299.0,0,0,138,0,0
4170.0,0,57,0,0,0
4189.0,0,38,41,0,0
4331.0,0,0,0,0,49
4900.0,0,"3,050",115,0,0
5190.0,0,"2,966",162,"3,295",0
5220.0,0,2,25,0,0
5290.0,0,9,118,0,0
5320.0,0,0,0,0,16
5370.0,0,5,0,0,0
5480.0,0,"2,715",167,3,75
5540.0,0,9,151,0,0
6134.0,0,432,"15,617",278,"452,868"
6136.0,0,0,96,"2,069","8,537"
6654.0,0,3,0,0,0
6782.0,0,204,0,984,"37,214"
6811.0,0,3,0,0,405
6817.0,0,0,0,0,97
6822.0,0,1,0,0,0
6835.0,0,"2,661",12,"1,737","128,463"
6838.0,0,0,0,0,"9,080"
6839.0,0,0,28,"1,696",24
6858.0,0,3,0,0,0
6885.0,0,2,177,0,0
6887.0,0,76,177,0,0
6889.0,0,7,0,"2,383",318
6891.0,0,4,0,0,0
7110.0,0,147,133,29,15
7120.0,0,1,151,0,0
7210.0,0,58,206,27,0
7230.0,0,74,126,864,0
7400.0,0,238,17,105,0
7500.0,0,8,0,44,0
7600.0,0,4,0,513,14
7900.0,0,"2,903",940,637,213
9900.0,0,0,0,442,"3,388"
