pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
2100.0,"521,811","245,979","5,358,926","16,402,407",0
2211.0,"311,753","490,215","1,987,248","341,137","4,364,719"
2221.0,0,"4,235",0,0,"51,030"
2330.0,"871,926","1,219,225","842,433","6,965,742","3,518,359"
2340.0,"706,185","613,598","1,618,835","701,774","44,149"
2429.0,"229,886","651,232","336,793","16,377","63,103"
2430.0,"20,718","417,983","920,703",0,0
2540.0,0,"11,091","72,983",103,"1,120,958"
2640.0,"7,196","216,240","366,813","7,723",0
2990.0,"34,853","109,968","140,082",0,0
3110.0,"3,942","117,345","108,605","346,023",0
3120.0,0,0,"3,044",0,0
3211.0,"1,314","11,726","148,574","1,145",882
3212.0,"403,675","287,302","288,366","28,999",0
3219.0,"291,909","121,114","2,188,169",0,"1,247,990"
3220.0,0,"83,200","35,116","356,953","11,782"
3230.0,0,0,0,"1,598","3,472"
3240.0,0,0,0,0,633
3260.0,0,0,0,"1,510","62,864"
3271.0,0,0,"254,772",0,0
3274.0,0,"31,477","22,184",0,"816,260"
3276.0,0,0,0,"57,607",0
3282.0,0,0,0,81,0
3285.0,0,0,0,2,0
3286.0,0,0,0,34,"8,506"
3292.0,0,0,0,340,0
3297.0,0,0,0,"6,160","2,812"
3299.0,"4,200","4,077",0,"13,796",0
4322.0,0,0,0,"385,303",0
4331.0,0,"132,761",0,"51,240",0
4420.0,0,0,0,17,0
4650.0,0,0,"382,006","4,308,915","856,747"
4690.0,0,0,0,"22,602",0
4741.0,0,0,0,0,"54,149"
4782.0,0,0,0,"5,517",0
4860.0,0,0,0,"122,919",0
4900.0,0,"11,816",0,"495,339",0
5120.0,0,0,0,1,0
5290.0,0,0,0,"10,796",0
5312.0,0,0,0,16,0
5320.0,0,0,0,"7,961",0
5330.0,0,0,0,"1,915",0
5360.0,0,0,0,911,0
5370.0,0,0,0,"47,779",0
5429.0,0,0,0,28,0
5480.0,0,0,0,"33,966",47
5540.0,0,0,0,"1,792",0
6241.0,0,0,0,0,"1,658,044"
6344.0,0,"9,045",0,0,0
6447.0,0,"1,718",0,0,"191,763"
6522.0,0,0,0,0,"606,367"
6653.0,0,"3,074",0,0,0
6747.0,0,0,0,0,"3,770"
6782.0,0,"18,898",0,0,0
7110.0,0,61,"1,939","63,990","56,288"
7120.0,0,0,0,"29,824","5,738"
7210.0,0,0,0,"9,233",0
7230.0,0,0,0,549,"2,425"
7300.0,0,0,0,945,0
7400.0,0,0,0,80,0
7500.0,0,0,0,336,"20,001"
7600.0,0,0,0,254,130
7900.0,0,0,0,"8,351","24,241"
9900.0,0,0,0,"18,877","24,822"
