pub_group,dom_intraport,dom_receipts,dom_shipments,for_receipts,for_shipments
1100.0,"626,589","3,991,100","1,565,887","484,076","4,856,669"
1200.0,0,0,0,"1,169,053",0
2100.0,0,"12,865",0,"12,407",324
2211.0,"17,296","1,779,572","124,482","166,691",71
2221.0,0,"73,981","4,606","34,450",1
2330.0,0,"987,182","52,648","115,504",0
2340.0,"482,269","848,804","164,319","640,517","46,875"
2350.0,0,0,0,589,"3,079"
2410.0,0,"106,040",0,188,"2,972"
2429.0,0,"8,223",0,"43,484","1,706"
2430.0,"3,656","653,270","35,189",307,155
2540.0,0,0,0,"275,952","95,996"
2640.0,0,0,0,33,148
3110.0,"7,982","20,879","3,183","174,024",21
3120.0,0,0,0,112,4
3130.0,0,0,0,56,73
3190.0,0,0,0,"4,353","1,557"
3211.0,0,0,0,95,121
3212.0,0,"19,677",0,0,9
3219.0,0,"20,036",0,"1,792","1,983"
3220.0,0,0,0,"4,509","5,112"
3230.0,0,0,0,"6,790","11,853"
3240.0,0,0,0,"3,661","1,297"
3250.0,0,0,0,"3,420","1,169"
3260.0,0,0,0,"1,481","2,680"
3272.0,"68,700","24,595","2,291","66,168",112
3273.0,0,0,0,58,39
3274.0,0,"92,668",0,"20,817","1,271"
3275.0,0,0,0,"200,958","13,226"
3276.0,0,"123,079",0,"25,317","8,006"
3279.0,0,0,0,"9,612",634
3281.0,0,0,0,"5,532","1,251"
3282.0,0,0,0,"24,514","5,750"
3283.0,0,0,0,"5,062","1,889"
3284.0,0,0,0,"1,034","4,923"
3285.0,0,0,0,"16,841","6,458"
3286.0,0,0,0,"29,341","37,799"
3291.0,0,0,0,943,"2,829"
3292.0,0,0,0,"5,154","3,811"
3293.0,0,0,0,326,4
3297.0,0,"24,834","5,781",162,"1,885"
3298.0,0,0,0,86,33
3299.0,0,0,0,"62,081","24,077"
4110.0,0,0,0,"45,915",20
4150.0,450,0,0,0,89
4161.0,0,0,0,0,23
4170.0,"1,315",0,0,"5,147","57,614"
4189.0,42,33,0,"196,752","117,878"
4190.0,0,0,0,"5,535","1,090"
4225.0,0,0,0,"403,347","42,990"
4310.0,0,0,0,"20,153","7,620"
4322.0,0,0,"82,661","255,024",0
4323.0,0,0,0,"1,181,323",119
4331.0,20,"1,163,169","323,744","122,544",954
4410.0,0,0,0,"4,155,940",81
4420.0,200,0,0,298,"2,429"
4515.0,"14,776","28,036","51,681",12,"11,648"
4630.0,0,0,0,0,43
4650.0,0,0,0,"764,875",729
4670.0,0,0,0,"33,894","1,539"
4680.0,0,0,0,"8,457","4,589"
4690.0,0,0,0,"44,860","76,788"
4741.0,0,0,0,917,215
4782.0,0,0,0,"80,171","5,239"
4860.0,0,0,"66,112","146,847",0
4900.0,0,0,0,"1,702,001","1,791"
5110.0,0,0,0,"5,069","1,132"
5120.0,0,0,0,"621,538","55,867"
5190.0,0,0,0,"118,474","3,868"
5210.0,0,0,0,0,5
5220.0,0,"556,455","375,848","274,092",372
5240.0,0,0,0,"12,825","17,585"
5290.0,132,534,"7,649","109,180","22,263"
5312.0,0,0,0,"3,880",39
5315.0,0,0,0,"95,884","15,048"
5320.0,"1,350",0,0,"115,977","19,194"
5330.0,0,0,0,"58,476","41,313"
5360.0,400,0,0,"89,260","1,472"
5370.0,0,0,43,"14,741","8,692"
5390.0,0,0,0,"14,649",663
5421.0,0,"15,800",0,"272,682",214
5422.0,0,0,0,"250,584","5,891"
5429.0,0,0,0,"163,418","7,013"
5480.0,"2,750","14,649",942,"243,152","27,895"
5540.0,0,0,0,"107,335","5,048"
6134.0,0,0,0,"12,842",49
6136.0,0,0,0,"3,554",80
6241.0,0,0,0,43,"74,047"
6344.0,0,0,0,"2,600","210,303"
6442.0,0,0,0,"18,892",10
6443.0,0,0,0,181,0
6521.0,0,0,0,388,0
6522.0,0,0,0,536,"472,062"
6590.0,0,0,0,"11,478",350
6653.0,0,0,0,"8,096",333
6654.0,0,0,0,"37,572","4,313"
6746.0,0,0,0,651,104
6747.0,0,0,0,"3,952","1,276"
6781.0,0,0,0,21,0
6782.0,0,0,0,889,"42,105"
6811.0,0,0,0,"14,339","17,205"
6817.0,0,0,0,"15,944",518
6822.0,0,0,0,"2,386",647
6835.0,0,0,0,"18,845",457
6838.0,0,0,0,18,28
6839.0,0,0,0,805,"1,316"
6856.0,0,0,0,569,5
6857.0,0,0,0,"5,726",452
6858.0,0,0,0,"74,201",767
6861.0,0,"194,079",0,"685,373",0
6865.0,0,0,0,"205,244",0
6871.0,0,0,0,"34,801",336
6872.0,0,0,0,"1,469",50
6885.0,0,0,0,"199,076","4,956"
6888.0,"5,400",0,300,"21,267",1
6889.0,0,0,"521,491","38,784","18,609"
6891.0,0,0,0,"3,731",23
6893.0,0,0,0,104,149
6894.0,0,0,0,39,132
6899.0,0,0,0,"2,964","6,029"
7110.0,900,220,695,"568,801","179,718"
7120.0,0,0,130,"31,620","25,148"
7210.0,0,0,0,"457,992","188,156"
7220.0,0,0,0,212,878
7230.0,0,0,0,"2,959","3,141"
7300.0,0,0,0,851,115
7400.0,46,33,0,"29,003","5,987"
7500.0,0,0,0,"34,591","8,815"
7600.0,0,0,0,"48,894","26,622"
7900.0,0,"560,583","777,248","110,941","34,367"
8900.0,220,0,0,0,0
9900.0,0,0,0,"191,932","37,757"
