4730,"Anacortes, WA",4
4820,"Anchorage, AK",4
4610,"Astoria, OR",4
4949,"Atka Island, AK",4
4457,"Barbers Point Harbor, Oahu, HI",4
4732,"Bellingham, WA",4
4346,"Berkeley, CA",4
4847,"Bethel, AK",4
4744,"Blaine, WA",4
4392,"Bodega Bay, CA",4
4660,"Coos Bay, OR",4
4814,"Cordova, AK",4
4834,"Craig, AK",4
4380,"Crescent City, CA",4
4846,"Dillingham, AK",4
4811,"Douglas Harbor, AK",4
4871,"Dry Pass, AK",4
4872,"Egegik River, AK",4
4838,"Elfin Cove Harbor, AK",4
4725,"Everett, WA",4
4734,"Flathead Lake, MT",4
4702,"Grays Harbor, WA",4
4470,"Hana Harbor, Maui, HI",4
4400,"Hilo, HI",4
4844,"Homer, AK",4
4420,"Honolulu, HI",4
4813,"Hoonah, AK",4
4942,"Humboldt, AK",4
4375,"Humboldt, CA",4
4909,"Iliuliuk Harbor, AK",4
4810,"Juneau, AK",4
4410,"Kahului, Maui, HI",4
4475,"Kailua, Ohau, Hi",4
4805,"Kake, AK",4
4626,"Kalama, WA",4
4460,"Kalaupapa Harbor, Molokai, HI",4
4415,"Kaunakakai, Molokai, HI",4
4405,"Kawaihae Harbor, HI",4
4800,"Ketchikan, AK",4
4944,"King Cove, AK",4
4978,"Kivilina, AK",4
4934,"Kodiak, AK",4
4749,"Lake Crockett, WA",4
4110,"Long Beach, CA",4
4622,"Longview, WA",4
4120,"Los Angeles, CA",4
4832,"Metlakatla, AK",4
4130,"Mission Bay, CA",4
4325,"Monterey Harbor, CA",4
4138,"Morro Bay, CA",4
4330,"Moss Landing, CA",4
4430,"Nawiliwili, Kauai, HI",4
4706,"Neah Bay, WA",4
4132,"Newport Bay Harbor, CA",4
4831,"Nikishka, AK",4
4841,"Ninilchik, AK",4
4968,"Nome, AK",4
4345,"Oakland, CA",4
4198,"Oceanside Harbor, CA",4
4933,"Old Harbor, AK",4
4718,"Olympia, WA",4
4450,"Pearl Harbor, Oahu, HI",4
4840,"Pelican, AK",4
4806,"Petersburg, AK",4
4386,"Pillar Point Harbor, CA",4
4836,"Port Alexander, AK",4
4425,"Port Allen Harbor, Kauai, HI",4
4708,"Port Angeles, WA",4
4714,"Port Gamble, WA",4
4150,"Port Hueneme, CA",4
4688,"Port Orford, OR",4
4710,"Port Townsend, WA",4
4612,"Portland, Astoria, St. Helens, Longview, Vancouver and Kalama Area, Other Ports",4
4644,"Portland, OR",4
4754,"Puget Sound Area, WA, Other Ports",4
4134,"Redondo Beach, CA",4
4340,"Redwood City, CA",4
4350,"Richmond, CA",4
4240,"Sacramento, CA",4
4100,"San Diego, CA",4
4389,"San Francisco Bay Area, CA, Other Ports",4
4335,"San Francisco, CA",4
4385,"San Leandro Marina, CA",4
4136,"Santa Barbara, CA",4
4396,"Santa Cruz, CA",4
4722,"Seattle, WA",4
4842,"Seldovia, AK",4
4930,"Seward, AK",4
4808,"Sitka, AK",4
4812,"Skagway, AK",4
4628,"St. Helens, OR",4
4874,"Stikine River, AK",4
4270,"Stockton, CA",4
4720,"Tacoma, WA",4
4674,"Tillamook Bay and Bar, OR",4
8901,"Total Waterborne Commerce of the San Francisco Bay and Delta Areas, CA",4
8902,"Total Waterborne Commerce, Columbia River Basin, OR, WA, and ID",4
4947,"Unalaska Island, AK",4
4818,"Valdez Harbor (Small Boat Harbor), AK",4
4816,"Valdez, AK",4
4636,"Vancouver, WA",4
4435,"Wake Island Harbor, Wake Island",4
4440,"Wells Harbor, Midway Island",4
4822,"Whittier, AK",4
4700,"Willapa, WA",4
4802,"Wrangell, AK",4
