PortID,USACEPortName,USATradePortName
8901,"Total Waterborne Commerce of the San Francisco Bay and Delta Areas, CA","Total Waterborne Commerce of the San Francisco Bay and Delta Areas, CA"
8902,"Total Waterborne Commerce, Columbia River Basin, OR, WA, and ID","Total Waterborne Commerce, Columbia River Basin, OR, WA, and ID"
163,"Town River, MA","Town River, MA"
3714,"Traverse City, MI","Traverse City, MI"
3303,"Trenton, MI","Trenton, MI"
553,"Trenton, NJ","Trenton, NJ"
6109,"Tulsa, Port of Catoosa, OK","Tulsa, Port of Catoosa, OK"
3926,"Two Harbors, MN","Two Harbors, MN"
3761,"Two Rivers, WI","Two Rivers, WI"
679,"Tylers Beach, VA","Tylers Beach, VA"
4947,"Unalaska Island, AK","Unalaska Island, AK"
4818,"Valdez Harbor (Small Boat Harbor), AK","Valdez Harbor (Small Boat Harbor), AK"
4816,"Valdez, AK","Valdez, AK"
4636,"Vancouver, WA","Vancouver, WA"
3215,"Vermilion, OH","Vermilion, OH"
2276,"Vicksburg, MS","Vicksburg, MS"
2411,"Victoria, TX","Victoria, TX"
1335,"Village Creek, SC","Village Creek, SC"
182,"Vineyard Haven, MA","Vineyard Haven, MA"
5700,"Virginia, VA, Port of","Virginia, VA, Port of"
3010,"Waddington, NY","Waddington, NY"
4435,"Wake Island Harbor, Wake Island","Wake Island Harbor, Wake Island"
818,"Wanchese, NC","Wanchese, NC"
174,"Wareham, MA","Wareham, MA"
3944,"Warroad, MN","Warroad, MN"
81,"Warwick, RI","Warwick, RI"
713,"Washington, DC","Washington, DC"
2186,"Watson Bayou, FL","Watson Bayou, FL"
3752,"Waukegan, IL","Waukegan, IL"
173,"Wellfleet, MA","Wellfleet, MA"
4440,"Wells Harbor, Midway Island","Wells Harbor, Midway Island"
352,"Westchester Creek, NY","Westchester Creek, NY"
313,"Westport, CT","Westport, CT"
164,"Weymouth Back River, MA","Weymouth Back River, MA"
162,"Weymouth Fore River, MA","Weymouth Fore River, MA"
3724,"White Lake Harbor, MI","White Lake Harbor, MI"
3840,"Whitefish Point Harbor, MI","Whitefish Point Harbor, MI"
4822,"Whittier, AK","Whittier, AK"
197,"Wickford, RI","Wickford, RI"
4700,"Willapa, WA","Willapa, WA"
554,"Wilmington, DE","Wilmington, DE"
766,"Wilmington, NC","Wilmington, NC"
734,"Winter Harbor, VA","Winter Harbor, VA"
151,"Winthrop Harbor, MA","Winthrop Harbor, MA"
2292,"Wolf River, TN","Wolf River, TN"
130,"Wood Island Harbor, ME and the Pool at Biddeford","Wood Island Harbor, ME and the Pool at Biddeford"
4802,"Wrangell, AK","Wrangell, AK"
3309,"Wyandotte, MI","Wyandotte, MI"
2029,"Yellow Bend Port, AR","Yellow Bend Port, AR"
27,"York Harbor, ME","York Harbor, ME"
