PortID,USACEPortName,USATradePortName
3812,"Detour, MI","Detour City, MI"
3318,"Detroit Harbor, MI","Detroit Harbor, MI"
3769,"Detroit Harbor, WI","Detroit Harbor, WI"
3321,"Detroit, MI","Detroit, MI"
4846,"Dillingham, AK","Dillingham, AK"
2090,"Dog and Fowl Rivers, AL","Dog and Fowl Rivers, AL"
160,"Dorchester Bay, MA","Dorchester Bay, MA"
4811,"Douglas Harbor, AK","Douglas Harbor, AK"
3813,"Drummond Island, MI","Drummond Island, MI"
4871,"Dry Pass, AK","Dry Pass, AK"
3924,"Duluth-Superior, MN and WI","Duluth, MN - Superior, WI"
3924,"Duluth-Superior, MN and WI","Duluth, Minn."
3924,"Duluth-Superior, MN and WI","Duluth, MN"
3222,"Dunkirk, NY","Dunkirk, NY"
168,"Duxbury, MA","Duxbury, MA"
3859,"Eagle Harbor, MI","Eagle Harbor, MI"
348,"East Chester Creek, NY","East Chester Creek, NY"
351,"East River, NY","East River, NY"
101,"Eastport, ME","Eastport, ME"
2105,"Eau Gallie, FL","Eau Gallie, FL"
345,"Echo Bay Harbor, NY","Echo Bay Harbor, NY"
3312,"Ecorse, MI","Ecorse, MI"
760,"Edenton, NC","Edenton, NC"
184,"Edgartown, MA","Edgartown, MA"
4872,"Egegik River, AK","Egegik River, AK"
4838,"Elfin Cove Harbor, AK","Elfin Cove Harbor, AK"
391,"Elizabeth River, NJ","Elizabeth River, NJ"
2298,"Elvis Stahr Harbor, KY","Elvis Stahr Harbor, KY"
3221,"Erie, PA","Erie, PA"
3795,"Escanaba, MI","Escanaba, MI"
4725,"Everett, WA","Everett, WA"
2112,"Everglades Harbor, Collier County, FL","Everglades Harbor, Collier County, FL"
2193,"Fairhope, AL","Fairhope, AL"
3218,"Fairport Harbor, OH","Fairport, OH"
3218,"Fairport Harbor, OH","Fairport, Ohio"
2139,"Fajardo, PR","Fajardo, PR"
189,"Fall River, MA","Fall River, MA"
177,"Falmouth, MA","Falmouth, MA"
784,"Fernandina Beach, FL","Fernandina, FL"
320,"Fivemile River Harbor, CT","Fivemile River Harbor, CT"
4734,"Flathead Lake, MT","Flathead Lake, MT"
354,"Flushing Bay and Creek, NY","Flushing Bay and Creek, NY"
2114,"Fort Myers Beach, FL","Fort Myers Beach, FL"
2161,"Fort Pierce, FL","Fort Pierce, FL"
158,"Fort Point Channel, MA","Fort Point Channel, MA"
3718,"Frankfort, MI","Frankfort, MI"
2408,"Freeport, TX","Freeport, TX"
2417,"Galveston, TX","Galveston, TX"
3736,"Gary, IN","Gary, IN"
772,"Georgetown, SC","Georgetown, SC"
3797,"Gladstone, MI","Gladstone, MI"
515,"Glen Cove, NY","Glen Cove, NY"
143,"Gloucester, MA","Gloucester, MA"
360,"Gowanus Creek Channel, NY","Gowanus Creek Channel, NY"
3728,"Grand Haven, MI","Grand Haven, MI"
3842,"Grand Marais Harbor (Harbor of Refuge), MI","Grand Marais Harbor (Harbor of Refuge), MI"
3931,"Grand Marais, MN","Grand Marais, MN"
3857,"Grand Traverse Bay, MI","Grand Traverse Bay, MI"
4702,"Grays Harbor, WA","Grays Harbor, WA"
382,"Great Kills Harbor, Staten Island, NY","Great Kills Harbor, Staten Island, NY"
300,"Great Salt Pond, Block Island, RI","Great Salt Pond, Block Island, RI"
3778,"Green Bay, WI","Green Bay, WI"
1175,"Green Harbor, MA","Green Harbor, MA"
527,"Greenport, NY","Greenport, NY"
2271,"Greenville, MS","Greenville, MS"
319,"Greenwich, CT","Greenwich, CT"
2148,"Guayanes, PR","Guayanes, PR"
307,"Guilford, CT","Guilford, CT"
2083,"Gulfport, MS","Gulfport, MS"
2371,"Guntersville, AL","Guntersville, AL"
393,"Hackensack River, NJ","Hackensack River, NJ"
1167,"Hampton, NH","Hampton, NH"
4470,"Hana Harbor, Maui, HI","Hana Harbor, Maui, HI"
3602,"Harbor Beach, MI","Harbor Beach, MI"
2418,"Harbor Island, TX","Harbor Island, TX"
358,"Harlem River, NY","Harlem River, NY"
3614,"Harrisville, MI","Harrisville, MI"
303,"Hay, NY","Hay, NY"
2293,"Helena, AR","Helena, AR"
514,"Hempstead, NY","Hempstead, NY"
126,"Hendricks, ME","Hendricks, ME"
4400,"Hilo, HI","Hilo, HI"
165,"Hingham Harbor, MA","Hingham Harbor, MA"
3730,"Holland, MI","Holland, MI"
4844,"Homer, AK","Homer, AK"
4420,"Honolulu, HI","Honolulu, HI"
4813,"Hoonah, AK","Hoonah, AK"
738,"Hopewell, VA","Hopewell, VA"
733,"Horn Harbor, VA","Horn Harbor, VA"
2131,"Horseshoe Cove, FL","Horseshoe Cove, FL"
2012,"Houston, TX","Houston, TX"
5396,"Hudson River Channel, NY and NJ","Hudson River Channel, NY and NJ"
5395,"Hudson River, NY (Lower Section)","Hudson River, NY (Lower Section)"
4942,"Humboldt, AK","Humboldt, AK"
4375,"Humboldt, CA","Humboldt, CA"
2348,Huntington - Tristate,Huntington - Tristate
519,"Huntington, NY","Huntington, NY"
3214,"Huron, OH","Huron, OH"
176,"Hyannis, MA","Hyannis, MA"
2030,"Iberia, LA","Iberia, LA"
4909,"Iliuliuk Harbor, AK","Iliuliuk Harbor, AK"
3738,"Indiana Harbor, IN","Indiana Harbor, IN"
3117,"Irondequoit Bay Harbor, New York","Irondequoit Bay Harbor, New York"
154,"Island End River, MA","Island End River, MA"
137,"Isle of Shoals Harbor, ME and NH","Isle of Shoals Harbor, ME and NH"
2017,"Jacksonville, FL","Jacksonville, FL"
367,"Jamaica Bay, NY","Jamaica Bay, NY"
4810,"Juneau, AK","Juneau, AK"
4410,"Kahului, Maui, HI","Kahului, HI"
4475,"Kailua, Ohau, Hi","Kailua, Ohau, Hi"
4805,"Kake, AK","Kake, AK"
4626,"Kalama, WA","Kalama, WA"
4460,"Kalaupapa Harbor, Molokai, HI","Kalaupapa Harbor, Molokai, HI"
2385,"Kansas City, MO","Kansas City, MO"
2307,"Kaskaskia, IL, Port of","Kaskaskia, IL, Port of"
4415,"Kaunakakai, Molokai, HI","Kaunakakai, Molokai, HI"
4405,"Kawaihae Harbor, HI","Kawaihae Harbor, HI"
3210,"Kelleys Island, OH","Kelleys Island, OH"
3753,"Kenosha, WI","Kenosha, WI"
4800,"Ketchikan, AK","Ketchikan, AK"
3762,"Kewaunee, WI","Kewaunee, WI"
2111,"Key West, FL","Key West, FL"
377,"Keyport Harbor, NJ","Keyport Harbor, NJ"
4944,"King Cove, AK","King Cove, AK"
4978,"Kivilina, AK","Kivilina, AK"
3925,"Knife River Harbor, MN","Knife River Harbor, MN"
2373,"Knoxville, TN","Knoxville, TN"
4934,"Kodiak, AK","Kodiak, AK"
3864,"La Pointe, WI","La Pointe, WI"
3858,"Lac La Belle, MI","Lac La Belle, MI"
1324,"Lagoon Pond, Martha's Vineyard, MA","Lagoon Pond, Martha's Vineyard, MA"
3742,"Lake Calumet, IL","Lake Calumet, IL"
2254,"Lake Charles, LA","Lake Charles, LA"
4749,"Lake Crockett, WA","Lake Crockett, WA"
535,"Lake Montauk Harbor, NY","Lake Montauk Harbor, NY"
2269,"Lake Providence, LA","Lake Providence, LA"
344,"Larchmont Harbor, NY","Larchmont Harbor, NY"
3716,"Leland, MI","Leland, MI"
381,"Lemon Creek, Staten Island, NY","Lemon Creek, Staten Island, NY"
3815,"Lime Island, MI","Lime Island, MI"
558,"Little Egg Harbor, NJ","Little Egg Harbor, NJ"
2120,"Little Manatee River, FL","Little Manatee River, FL"
4110,"Long Beach, CA","Long Beach, CA"
347,"Long Island Sound at City Island, NY","Long Island Sound at City Island, NY"
4622,"Longview, WA","Longview, WA"
3216,"Lorain, OH","Lorain, OH"
4120,"Los Angeles, CA","Los Angeles, CA"
2333,"Louisville, KY","Louisville, KY"
708,"Lowes Wharf, Talbot County, MD","Lowes Wharf, Talbot County, MD"
3722,"Ludington, MI","Ludington, MI"
148,"Lynn, MA","Lynn, MA"
3624,"Mackinac, MI","Mackinac Island, MI"
3622,"Mackinaw City, MI","Mackinaw City, MI"
2267,"Madison Parish, LA, Port of","Madison Parish, LA, Port of"
155,"Malden River, MA","Malden River, MA"
343,"Mamaroneck Harbor, NY","Mamaroneck Harbor, NY"
144,"Manchester, MA","Manchester, MA"
